idDocumentSentence1,idDocumentSentence2,cosine_anno_lome,cosine_anno_lomeedt,cosine_lome_lomeedt,sentence
3126257,5229362,0.673343,0.777043,0.865883,"A gente tem hoje, especificamente para o vidro, uma meta que segue o PLANARIS (Plano Nacional de Resíduos Sólidos)."
4358929,5229378,0.716408,0.979757,0.751585,"Ela preveu o encerramento dos lixões e o reaproveitamento de cerca de cinquenta por cento dos materiais em vinte anos."
3126241,5229355,0.852235,0.906468,0.7525,"Neste condomínio em Brasília, a separação do lixo já é feita há alguns anos, mas o trabalho de conscientização não é fácil."
4358915,5229371,0.303139,0.336799,0.651016,"Ficando atrás de outras categorias como papel, plástico e metal."
3126261,5229364,0.62695,0.766147,0.729526,"Uma das formas é a reciclagem, mas hoje apenas cerca de dois por cento dos resíduos das cidades passam por isso."
4358919,5229373,0.618115,0.98278,0.627294,"Sempre tendo que avisar aos moradores, passando, olhando, vendo se eles estão fazendo a separação correta do lixo."
3126245,5229357,0.533052,0.832235,0.615727,"Em alguns casos, o destino do lixo são as cooperativas de catadores."
3126265,5229366,0.242476,0.226778,0.997436,"Aqui, nós salvamos o mundo porque a gente cuida de pessoas, a gente cuida da saúde das pessoas,  cuida da saúde do meio ambiente."
3126251,5229359,0.415541,0.55869,0.694276,"A gente separa papéis, vidros, metais e plásticos."
4358923,5229375,0.721067,0.760614,0.883895,"Inclusive, o vidro é um dos produtos que é infinitamente reciclável e uma tonelada de vidro dá uma tonelada de embalagem nova."
3348678,5229368,0.467272,0.565135,0.467013,"Aí, na esteira, cada material vai para um ""bag"" diferente."
4358927,5229377,0.716989,0.819021,0.937652,"E a nossa meta é que a gente chegue em quarenta por cento até dois mil e trinta e dois."
3126255,5229361,0.795439,0.75862,0.741021,"Em 2022, o país instituiu o sistema de logística reversa de embalagens de vidro."
3126239,5229354,0.740398,0.693481,0.866497,"Pois é, agora esse cenário pode mudar, já que o país tem uma entidade que vai gerenciar."
3348682,5229370,0.296715,0.279242,0.798656,"Então a gente tem hoje, o número que a gente estima é de um pouco mais de vinte e cinco por cento de reciclagem do vidro."
3126259,5229363,0.39182,0.758002,0.543684,"A Política Nacional de Resíduos Sólidos de dois mil e dez apontou diretrizes para a melhoria da gestão do lixo:"
4358931,5229379,0.667321,0.77852,0.580608,"E ainda inclui pessoas no processo."
3126243,5229356,0.778935,0.847313,0.918425,"Aqui a gente tem um trabalho constante, pelo menos há três anos."
4358917,5229372,0.460891,0.727589,0.626388,"Que deve dar mais eficiência a logística reversa e a economia circular do vidro."
3126263,5229365,0.49808,0.442614,0.888641,"Medidas regulatórias, elas tendem a incentivar a reciclagem, né."
3126247,5229358,0.959227,0.988378,0.970506,"Chega aqui da forma que está aqui."
4358921,5229374,0.603645,0.898142,0.542443,"E as vezes dá um trabalho mesmo, porque a gente tem que fazer constantes avisos."
3348674,5229367,0.655477,0.842838,0.864714,"Aí entra  para onde as empilhadeiras estão levando, dali sobe e começa a triagem."
3126253,5229360,0.855898,1,0.855898,"Vai mandar para a indústria, a indústria vai processar e vai fazer a embalagem."
4358925,5229376,0.814761,0.502795,0.773857,"Não se perde no processo."
3348680,5229369,0.763381,0.763381,1,"No total, dá uns noventa tipos diferentes."
3126237,5229353,0.444182,0.885768,0.431864,"Com um potencial de reciclagem muito alto, o vidro é um dos materiais secos menos recuperados no Brasil."
