idDocumentSentence1,idDocumentSentence2,cosine,sentence
5229884,5229869,1,"Próximo a um conjunto de favelas da Maré, um ônibus foi incendiado na Avenida Brasil."
5229886,5229871,1,"Os veículos só voltaram a circular no fim da manhã."
5229879,5229864,1,"Um policial e dois suspeitos foram mortos."
5229888,5229873,1,"Quatro postos de saúde também tiveram os atendimentos interrompidos."
5229881,5229866,1,"De acordo com a PM, os confrontos entre policiais e criminosos no Complexo da Maré, na Zona Norte do Rio, deixaram um policial morto e outro ferido."
5229890,5229875,1,"Por causa de tiroteios durante uma ação policial no Complexo da Maré."
5229883,5229868,1,"Os tiroteios aconteceram no início da manhã de hoje."
5229892,5229877,1,"Uma das principais vias de acesso ao centro do Rio, e o trânsito foi interrompido."
5229885,5229870,1,"As linhas amarela e vermelha, que dão acesso ao aeroporto internacional do Rio de Janeiro, também ficaram bloqueadas."
5229878,5229863,1,"Quarenta e duas escolas e quatro postos de saúde não abriram as portas hoje no Rio de Janeiro."
5229887,5229872,1,"Segundo os governos municipal e estadual, quarenta escolas do município e duas do estado não abriram as portas por causa dos tiroteios."
5229880,5229865,1,"De acordo com a PM, os confrontos entre policiais e criminosos no Complexo da Maré, na Zona Norte do Rio, deixaram um policial morto e outro ferido."
5229889,5229874,1,"A PM disse que prendeu dois suspeitos e recuperou quatro veículos roubados, além de apreender armas e material usado para embalar entorpecentes."
5229882,5229867,1,"Outros dois homens suspeitos de serem seguranças do tráfico morreram."
5229891,5229876,1,"Devido a uma operação para apreender suspeitos de roubos de veículos em vias expressas da cidade."
