"Document Name","Start Time",idDocumentSentence1,idDocumentSentence2,"Total Time DS1 (seconds)","Total Time DS2 (seconds)","Time Difference (seconds)","Sentence Text"
Reporter_Brasil_02_13,0,3118633,5229456,0,1900,-1900,"Nos abrigos há uma preocupação muito grande com, não só de receber as pessoas mas como também fazer um trabalho de apoio emocional pra quem, obviamente, perdeu tudo e ainda tem uma preocupação muito grande com o que vem, com o futuro, né, com o que vem aí."
Reporter_Brasil_02_13,14.56,3118635,5229457,0,687,-687,"Eu fui conhecer um trabalho de saúde mental em um dos abrigos, vamos ver como é que foi."
Reporter_Brasil_02_13,20.88,3118637,5229458,2220,596,1624,"Adriano é um dos duzentos desalojados que estão neste abrigo na região metropolitana de Porto Alegre."
Reporter_Brasil_02_13,27.9,5229251,5229467,305,623,-318,"Deficiente visual, ele tem conversado bastante com a psicóloga e confessa que ainda está abalado com tudo que aconteceu."
Reporter_Brasil_02_13,37.11,3118639,5229459,1689,1293,396,"Eles conversam muito comigo, porque a gente não consegue, né, e até mesmo por causa da minha deficiência fica mais difícil, né?"
Reporter_Brasil_02_13,48.6,5229252,5229468,22,91,-69,"Fica mais difícil."
Reporter_Brasil_02_13,50,3118749,5229460,1349,2,1347,"Eliane é voluntária no abrigo e também em uma plataforma online gratuita."
Reporter_Brasil_02_13,55.5,5229253,5229469,178,2,176,"A psicóloga tem procurado alternar o atendimento aos próprios pacientes com a assistência aos desalojados."
Reporter_Brasil_02_13,63.8,5229254,5229470,215,3,212,"Para ela, mais do que fazer perguntas, o momento agora é de ouvir."
Reporter_Brasil_02_13,69.08,3118758,5229461,1109,3,1106,"O acolhimento ele é com um aperto de mão, né, uma troca de olhar sincera, né?"
Reporter_Brasil_02_13,76.5,5229255,5229471,351,6,345,"Formar, dentro da possibilidade, um ambiente em que ele traga."
Reporter_Brasil_02_13,82,5229256,5229472,309,1,308,"A pessoa tem que eleger o que é necessário e o que é importante."
Reporter_Brasil_02_13,84.96,3118760,5229462,765,7,758,"Não é o alimentar e dar um local pra dormir."
Reporter_Brasil_02_13,88.2,5229257,5229473,109,4,105,"É acolher, que é muito mais importante."
Reporter_Brasil_02_13,91,5229258,5229474,300,4,296,"Então a gente vê que essas pessoas são gratas."
Reporter_Brasil_02_13,93.3,5229259,5229475,358,6,352,"Porém, agora, o desafio é voltar para casa."
Reporter_Brasil_02_13,97,5229260,5229476,1140,2,1138,"Eles vão voltar pra uma realidade onde eles vão entrar nos lares e eles vão ter que tirar o lodo."
Reporter_Brasil_02_13,102.1,5229261,5229477,251742,4,251738,"Eles vão perder muitos pertences, e pertences que têm um apelo emocional."
Reporter_Brasil_02_13,106.4,5229249,5229465,5,1,4,"Lembra do Adriano do começo da reportagem?"
Reporter_Brasil_02_13,109,3118762,5229463,77,6,71,"Embora as conversas venham surtindo efeito, pensar no futuro ainda causa desconforto."
Reporter_Brasil_02_13,116.3,5229250,5229466,0,5,-5,"Por enquanto ele só quer um radinho para ouvir as músicas que mais gosta."
Reporter_Brasil_02_13,121.44,3118764,5229464,0,3,-3,"Porto Alegre é longe tô pegando um ônibus pra te encontrar."
Reporter_Brasil_02_14,0,3118766,5229524,16,7,9,"A gente têm visto aqui nessa cobertura, que há solidariedade o tempo inteiro, né? A gente fala isso bastante aqui no jornal, essa solidariedade tomou conta de todo o país em relação ao povo aqui do Rio Grande do Sul e muitas doações têm chegado aqui do Brasil inteiro."
Reporter_Brasil_02_14,4.7,5229262,5229541,0,2,-2,"A gente fala isso bastante aqui no jornal."
Reporter_Brasil_02_14,6.8,5229263,5229542,0,2,-2,"Essa solidariedade tomou conta de todo país em relação ao povo aqui do Rio Grande do Sul."
Reporter_Brasil_02_14,11.7,5229264,5229543,0,4,-4,"E muitas doações têm chegado aqui do Brasil inteiro."
Reporter_Brasil_02_14,15.12,3118768,5229525,0,3,-3,"Mas é preciso observar de que forma esse material tá chegando."
Reporter_Brasil_02_14,19.5,5229265,5229544,0,10,-10,"Tem materiais que têm sido doados, né, e não estão em condiçoes de uso."
Reporter_Brasil_02_14,25.1,5229266,5229545,0,1,-1,"Vamos ver na reportagem."
Reporter_Brasil_02_14,27.4,3118770,5229526,1061,32,1029,"Maria Cristina é voluntária da Ação da Cidadania, organização que está recolhendo doações aqui no Rio de Janeiro para levar ao Rio Grande do Sul e lamenta quando encontra coisas em más condições."
Reporter_Brasil_02_14,39.88,3118772,5229527,3248,14,3234,"Nós estamos pedindo, né, pra quem tem roupas rasgada, suja, sapatos nessas condições, roupa nas condições que estão mandando pra não mandarem, porque lá eles não tem água, estão numa situação precária,. Nós vamos mandar isso?"
Reporter_Brasil_02_14,54.76,3118780,5229528,1416,11,1405,"Na hora de doar, é importante pensar no que enviar, e também no trabalho prévio que muita gente tem que fazer na hora da triagem do que está ou não em bom estado."
Reporter_Brasil_02_14,66.88,3118782,5229529,1104,9,1095,"Não tem água pra lavar roupa, não tem fogão pra cozinhar, não tem, então a gente tem que pensar nisso, parar e pensar, se por no lugar do outro pra você ter sensibilidade de falar: ""Não, peraí, ele merece muito mais, né"""
Reporter_Brasil_02_14,83.52,3118784,5229530,139,3,136,"Há uma diferença muito grande entre descartar e doar."
Reporter_Brasil_02_14,88.84,3118786,5229531,396,3,393,"A doação vêm do coração, do cuidado e escolher aquilo que você vai enviar pra quem precisa."
Reporter_Brasil_02_14,96,3118788,5229532,601,7,594,"E olha só, eu vi agora aqui um exemplo de uma pessoa que doou em saquinhos, tudo cheiroso, dobrado, com até a faixa etária das crianças que vão receber."
Reporter_Brasil_02_14,106.84,3118790,5229533,65,3,62,"Não é pra doar o que você ia jogar fora, né?"
Reporter_Brasil_02_14,108.9,5229267,5229546,165,7,158,"Então você tem que dar uma coisa que esteja em ótimo uso."
Reporter_Brasil_02_14,111.7,5229268,5229547,129,3,126,"Não digo nem em bom uso, é ótimo uso, uma roupa que você estaria usando."
Reporter_Brasil_02_14,115.8,3118792,5229534,2212,6,2206,"É através da solidariedade de quem doa, a gente consegue tá levando alimento, produtos de higiene limpeza e outros itens pra poder dar força, pra poder resgatar essas pessoas, pra que elas consigam tá dando continuidade as suas vidas."
Reporter_Brasil_02_14,134.47,3118794,5229535,5,15,-10,"Bom, PortaNova, Iara, a chuva tinha dado uma parada entre o começo do jornal e até agora, mas voltou a chover forte por aqui e PortaNova, você falou lá no começo do jornal da importância das bombas d&#039;água, a prefeitura anunciou que das vinte e três bombas que existem aqui em Porto Alegre, dez estão em funcionamento."
Reporter_Brasil_02_14,152.72,3118796,5229536,0,3,-3,"Hoje eu fico por aqui, amanhã eu volto com outras informações aqui de Porto Alegre. É com vocês aí em Brasília."
Reporter_Brasil_02_14,157.32,3118798,5229537,0,9,-9,"Tá certo, obrigado. É impressionante que a chuva não para, né? Negócio de louco, não para. Não para de chover."
Reporter_Brasil_02_14,159.32,3118804,5229540,0,0,0,"Brigada, Bárbara."
Reporter_Brasil_02_14,160.72,3118800,5229538,0,3,-3,"Não para, afina e engrossa."
Reporter_Brasil_02_14,162.88,3118802,5229539,0,2,-2,"É, mas continua chovendo, o tempo todo."
Reporter_Brasil_03_11,0.1,3126207,5229297,692,4,688,"Um conjunto de ilhas no litoral da zona oeste do Rio de Janeiro ganhou um importante título internacional pela preservação da biodiversidade."
Reporter_Brasil_03_11,8.84,4358907,5229321,613,6,607,"E são agora reconhecidas como pontos de esperança ou ""hope spots""."
Reporter_Brasil_03_11,14.16,3126209,5229298,48,4,44,"Palmas e peças, as Ilhas da praia de Grumari, além das três ilhas Tijucas, todas localizadas na zona oeste do Rio."
Reporter_Brasil_03_11,21.72,4358909,5229322,195,2,193,"Tiveram o estado de preservação certificado pela Maison Blue, uma organização internacional sem fins lucrativos."
Reporter_Brasil_03_11,28.6,3126211,5229299,298,2,296,"Elas se unem às cagarras na Praia de ipanema para possuirem o título de ""hope sports"", pontos de esperança."
Reporter_Brasil_03_11,35,3126213,5229300,309,0,309,"Os pesquisadores do projeto ""Ihas do Rio"" são os principais responsáveis pelo título, comprovando a biodiversidade das ilhas."
Reporter_Brasil_03_11,42.5,3126215,5229301,297,5,292,"Em apenas oito dias a gente conseguiu levantar mais de duzentas espécies."
Reporter_Brasil_03_11,46.2,4358911,5229323,150,6,144,"E o mais interessante de tudo aqui é que a gente está de frente para um verdadeiro berçário de espécies ameaçadas, né."
Reporter_Brasil_03_11,53.1,3299189,5229312,260,19,241,"Então a gente encontra espécies de garopas, espécies de cavalo-marinho que a gente consegue detectar aqui com a maior facilidade."
Reporter_Brasil_03_11,60.2,3126217,5229302,190,5,185,"As Ilhas de Grumari fazem parte da área protegida no Parque Natural Municipal da Prainha e de Grumari."
Reporter_Brasil_03_11,66.1,3299235,5229313,236,8,228,"A região também tem o selo bandeira azul, renovado anualmente e que certifica a qualidade da água."
Reporter_Brasil_03_11,72.04,4358913,5229324,77,4,73,"Mas a preservação das ilhas não está totalmente livre de ameaças."
Reporter_Brasil_03_11,76.2,3126219,5229303,86,2,84,"Nós já fizemos uma ação de limpeza lá na Ilha de Palmas."
Reporter_Brasil_03_11,78.9,3348655,5229314,422,4,418,"Encontramos muitos resíduos plásticos deixados por visitantes e,  também, lixo encontrado pela maré."
Reporter_Brasil_03_11,86.7,3348657,5229315,225,4,221,"E a gente está buscando uma parceria com os próprios pescadores, associação de moradores, poder público, iniciativa privada para que a gente possa unir forças e cada vez mais preservar esse ambiente."
