lemmaName(pt),lemmaName(en),idPOS,udPOS,idUDPOS,idLanguage,senseDescription(pt),frameName,source_line,reason
comportar-se,conduct,86,VERB,16,1,"COD: a maneira como uma pessoa se comporta.",Conduta,24,"Lemma not found in database"
entregar-se,"give up",86,VERB,16,1,"FN: apresentar-se às autoridades",Render-se,33,"Lemma not found in database"
"interrogatório cruzado",cross,83,NOUN,8,1,"FN: abreviação de interrogatório cruzado.",Audiência_judicial,40,"Lemma not found in database"
suicidar-se,suicide,86,VERB,16,1,"FN: matar-se deliberadamente",Matar,84,"Lemma not found in database"
esparramar-se,"sprawl out",86,VERB,16,1,"FN: mentira, ou cair de braços e pernas estendidos de forma desajeitada",Mudar_postura,182,"Lemma not found in database"
meados,mid,84,ADJ,1,1,"FN: (de um período maior) denotando uma parte que contrasta com as partes anteriores e posteriores.",Sub-região_temporal,642,"Lemma not found in database"
hospedar-se,room,86,VERB,16,1,"FN: viver temporariamente na residência de outra pessoa.",Hospedar-se,948,"Lemma not found in database"
hospedar-se,board,86,VERB,16,1,"FN: ficar e tomar refeições em um hotel ou alojamento semelhante.",Hospedar-se,951,"Lemma not found in database"
claramente,crystal,83,NOUN,8,1,"FN: (com clareza) completamente.",Grau,1009,"Lemma not found in database"
chocante,shocker,83,NOUN,8,1,"COD: uma pessoa ou coisa que choca, especialmente através de ser inaceitável ou sensacional.",Estimular_emoção,1054,"Lemma not found in database"
pegadinha,prank,83,NOUN,8,1,"FN: uma artimanha destinada a provocar diversão e às vezes dano.",Pegadinha,1306,"Lemma not found in database"
caiaque,kayak,86,VERB,16,1,"esporte em que o atleta vai remando em um barco em um rio.",Esportes,1760,"Lemma not found in database"
tabelinha,combination,83,NOUN,8,1,"Um passeio entre dois jogadores.",Jogadas_interativas,1811,"Lemma not found in database"
clinch,clinch,83,NOUN,8,1,"Em boxe, é quando os dois lutadores estão segurando ou apoiando um ao outro sem trocar golpes.",Jogadas_interativas,1825,"Lemma not found in database"
levantada,set,83,NOUN,8,1,"O voleibol em que um jogador levanta a bola para outro atacar e joga para o lado do oponente.",Jogadas_interativas,1837,"Lemma not found in database"
"marcar gol","score goal",86,VERB,16,1,"Fazer a bola passar pela estrutura chamada de gol, marcando pontos.",Jogadas_pontuadas,1859,"Lemma not found in database"
pak,pak,83,NOUN,8,1,"Na ginástica artística, é o movimento utilizado para se mover da barra mais baixa para a mais alta. O ginasta faz um movimento semelhante com o flic-flac, já que o pulo pak também é um movimento pontual preparatório.",Jogadas_pontuadas,1867,"Lemma not found in database"
"home plate",home,83,NOUN,8,1,"Em um campo de beisebol, também é chamado de placa principal e é uma esteira de borracha pentagonal conhecida simplesmente como casa ou placa.",Subpartes_de_instalações_esportivas,1932,"Lemma not found in database"
cooler,cooler,83,NOUN,8,1,"COD: um dispositivo ou recipiente para manter as coisas frias.",Recipientes,2422,"Lemma not found in database"
atrasado,behind,89,ADV,3,1,"COD: posterior ao planejado ou esperado.",Tempo_relativo,2439,"Lemma not found in database"
tutorado,tutee,83,NOUN,8,1,"COD: o aluno ou pupilo de um tutor",Cenário_da_educação,2640,"Lemma not found in database"
falta,lack,86,VERB,16,1,"COD: sem ou com deficiência de",Posse,2709,"Lemma not found in database"
tubinho,shift,83,NOUN,8,1,"COD: um vestido reto sem cinto.",Vestuário,2770,"Lemma not found in database"
deck,deck,83,NOUN,8,1,"FN: uma plataforma aberta e sem cobertura que se estende de uma casa ou outro edifício",Subpartes_de_prédios,2985,"Lemma not found in database"
bolsão,pocket,83,NOUN,8,1,"uma pequena área isolada ou protegida.",Local,3086,"Lemma not found in database"
"para cima",up,90,ADP,2,1,"COD: de um ponto mais baixo para um ponto mais alto de.",Relação_locativa,3181,"Lemma not found in database"
grelhar,grilling,83,NOUN,8,1,"FN: o processo de cozimento por calor direto, como em uma grelha ou sobre um fogo quente",Aplicar_calor,3323,"Lemma not found in database"
grelhar,grilling,83,NOUN,8,1,"FN: o processo de cozimento por calor direto, como em uma grelha ou sobre um fogo quente",Criação_culinária,3457,"Lemma not found in database"
pager,page,86,VERB,16,1,"COD: contato por meio de um pager.",Contatar,3622,"Lemma not found in database"
livreto,booklet,83,NOUN,8,1,"COD: um pequeno livro fino com capas de papel.",Texto,3676,"Lemma not found in database"
debate,debate,86,VERB,16,1,"COD: discutir ou argumentar sobre.",Discussão,4033,"Lemma not found in database"
tachinha,tack,83,NOUN,8,1,"COD: uma pequena e afiada unha em forma de cunha, um prego de desenho",Conectores,4295,"Lemma not found in database"
